,titles,images,ratings,prices
0,"Samsung Galaxy A15 (SM-155M/DSN), 128GB 6GB RAM, Dual SIM, Factory Unlocked GSM, International Version (Wall Charger Bundle) (Light Blue)",https://m.media-amazon.com/images/I/51rp0nqaPoL._AC_UY218_.jpg,4.2 out of 5 stars,$138.49
1,"SAMSUNG Galaxy S24+ Plus Cell Phone, 256GB AI Smartphone, Unlocked Android, 50MP Camera, Fastest Processor, Long Battery Life, US Version, 2024, Onyx Black",https://m.media-amazon.com/images/I/71NngboUC6L._AC_UY218_.jpg,4.4 out of 5 stars,$999.99
2,"SAMSUNG,Galaxy A04e (SM-A042M/DS) Dual SIM 32GB,6.5'' GSM Unlocked,International Version-Black",https://m.media-amazon.com/images/I/71O2YkTlq-L._AC_UY218_.jpg,3.7 out of 5 stars,$88.17
3,Motorola Moto G Power 5G | 2023 | Unlocked | Made for US 4/128GB | 50 MPCamera | Mineral Black,https://m.media-amazon.com/images/I/61QKKdjHV0L._AC_UY218_.jpg,4.2 out of 5 stars,$199.99
4,"SAMSUNG Galaxy A05s (128GB, 4GB) 6.7"" Dual SIM GSM Unlocked Global 4G LTE A057M/DS (Silver)",https://m.media-amazon.com/images/I/515qs3CUb4L._AC_UY218_.jpg,3.6 out of 5 stars,$124.99
5,"SAMSUNG Galaxy A15 5G A Series Cell Phone, 128GB Unlocked Android Smartphone, AMOLED Display, Expandable Storage, Knox Security, Super Fast Charging, US Version, 2024, Blue Black",https://m.media-amazon.com/images/I/61s0ZzwzSCL._AC_UY218_.jpg,3.9 out of 5 stars,$199.99
6,"Apple iPhone 11, 64GB, Black - Unlocked (Renewed)",https://m.media-amazon.com/images/I/612kg3rGyYL._AC_UY218_.jpg,4.3 out of 5 stars,$218.00
7,"Samsung Galaxy A15 (SM-155M/DSN), 128GB 6GB RAM, Dual SIM, Factory Unlocked GSM, International Version (Wall Charger Bundle) (Yellow)",https://m.media-amazon.com/images/I/51rK-Be8dxL._AC_UY218_.jpg,4.2 out of 5 stars,$127.47
8,Unlocked Samsung A42 5G 128GB - Black - SM-A426UZABXAA (Renewed),https://m.media-amazon.com/images/I/617Kt2KJQML._AC_UY218_.jpg,4.0 out of 5 stars,$124.99
9,"Samsung Galaxy A03s Cell Phone, AT&T GSM Unlocked Android Smartphone, 32GB, Long Lasting Battery, Expandable Storage, 3 Camera Lenses, Infinite Display - Black (Renewed)",https://m.media-amazon.com/images/I/51m45B3Yy+L._AC_UY218_.jpg,4.0 out of 5 stars,$79.99
10,"Xgody X18 4G Unlocked Cell Phones, 6.3 Inches Screen Smartphones, Android 10 Dual SIM Cheap Cell Phone, 2GB+16GB, Dual 8MP+8MP Camera, 4000mAh All Day Battery, Face Unlock Mobile Phone(Light Blue)",https://m.media-amazon.com/images/I/71F1Z+eGGuL._AC_UY218_.jpg,No Rating,$69.99
11,"Google Pixel 8a - Unlocked Android Phone with Google AI, Advanced Pixel Camera and 24-Hour Battery - Aloe - 128 GB",https://m.media-amazon.com/images/I/71QALLnpELL._AC_UY218_.jpg,4.1 out of 5 stars,$499.00
12,BLU G63 | 2023 | 3-Day Battery | Unlocked | 6.8” HD+ Infinity Display | 128/4GB | Dual 13MP Camera | US Version | US Warranty | Green,https://m.media-amazon.com/images/I/71EAB02TrzL._AC_UY218_.jpg,3.7 out of 5 stars,$89.99
13,"TracFone Motorola Moto g Pure, 32GB, Blue - Prepaid Smartphone (Locked)",https://m.media-amazon.com/images/I/71zGrrAe5NL._AC_UY218_.jpg,4.2 out of 5 stars,$49.99
14,"A15 Pro Max Unlocked Phone, 8GB+512GB Ultra Memory Unlocked Smartphone, 6.82"" HD Unlocked Android 13 Phones, 6800mAh Battery/48MP Camera/Face ID/Dual SIM Cell Phone (Gold)",https://m.media-amazon.com/images/I/61-IduJLoTL._AC_UY218_.jpg,No Rating,$189.00
15,"DOOGEE S41 MAX Rugged Smartphone 2024, 16GB + 256GB/SD 1TB Rugged Phone Android 13, 6300mAh Rugged Cell Phone, 5.5"" HD+ Display, IP68 Waterproof Outdoor Military Grade 4G Mobile Phone, NFC/WiFi/OTG",https://m.media-amazon.com/images/I/81h5hAqp8wL._AC_UY218_.jpg,4.1 out of 5 stars,$169.99
16,Boost Infinite iPhone 15 Pro Max (256 GB) — Natural Titanium [Locked]. Requires unlimited plan starting at $60/mo.,https://m.media-amazon.com/images/I/81YQTED1r5L._AC_UY218_.jpg,4.3 out of 5 stars,$0.01
